Epoch, Total Squared Error
0,0.673153
1,0.65626
2,0.639597
3,0.623245
4,0.607273
5,0.59174
6,0.576697
7,0.56218
8,0.548217
9,0.534823
10,0.522007
11,0.509768
12,0.498099
13,0.486987
14,0.476415
15,0.466365
16,0.456815
17,0.447742
18,0.439122
19,0.430932
20,0.423148
21,0.415747
22,0.408708
23,0.402009
24,0.39563
25,0.389552
26,0.383757
27,0.378228
28,0.372949
29,0.367905
30,0.363082
31,0.358467
32,0.354048
33,0.349813
34,0.345753
35,0.341856
36,0.338115
37,0.33452
38,0.331063
39,0.327737
40,0.324535
41,0.32145
42,0.318476
43,0.315608
44,0.31284
45,0.310168
46,0.307585
47,0.30509
48,0.302676
49,0.30034
50,0.298078
51,0.295888
52,0.293766
53,0.291708
54,0.289713
55,0.287776
56,0.285897
57,0.284071
58,0.282298
59,0.280575
60,0.278899
61,0.277269
62,0.275684
63,0.27414
64,0.272638
65,0.271175
66,0.269749
67,0.268359
68,0.267005
69,0.265684
70,0.264395
71,0.263138
72,0.26191
73,0.260712
74,0.259542
75,0.258399
76,0.257283
77,0.256191
78,0.255124
79,0.254081
80,0.253061
81,0.252063
82,0.251086
83,0.25013
84,0.249194
85,0.248278
86,0.247381
87,0.246502
88,0.245641
89,0.244797
90,0.24397
91,0.243159
92,0.242364
93,0.241584
94,0.24082
95,0.24007
96,0.239334
97,0.238611
98,0.237902
99,0.237206
100,0.236523
101,0.235852
102,0.235193
103,0.234546
104,0.23391
105,0.233285
106,0.23267
107,0.232067
108,0.231473
109,0.23089
110,0.230316
111,0.229752
112,0.229197
113,0.228651
114,0.228114
115,0.227586
116,0.227066
117,0.226555
118,0.226051
119,0.225555
120,0.225067
121,0.224587
122,0.224113
123,0.223647
124,0.223188
125,0.222736
126,0.22229
127,0.221851
128,0.221419
129,0.220993
130,0.220573
131,0.220158
132,0.21975
133,0.219348
134,0.218951
135,0.21856
136,0.218174
137,0.217794
138,0.217418
139,0.217048
140,0.216683
141,0.216323
142,0.215967
143,0.215616
144,0.21527
145,0.214929
146,0.214591
147,0.214259
148,0.21393
149,0.213606
150,0.213286
151,0.212969
152,0.212657
153,0.212349
154,0.212044
155,0.211744
156,0.211447
157,0.211153
158,0.210863
159,0.210577
160,0.210294
161,0.210014
162,0.209738
163,0.209465
164,0.209195
165,0.208928
166,0.208665
167,0.208404
168,0.208147
169,0.207892
170,0.20764
171,0.207392
172,0.207145
173,0.206902
174,0.206661
175,0.206423
176,0.206188
177,0.205955
178,0.205725
179,0.205497
180,0.205272
181,0.205049
182,0.204828
183,0.20461
184,0.204394
185,0.204181
186,0.203969
187,0.20376
188,0.203553
189,0.203348
190,0.203146
191,0.202945
192,0.202746
193,0.202549
194,0.202355
195,0.202162
196,0.201971
197,0.201782
198,0.201595
199,0.20141
200,0.201227
201,0.201045
202,0.200865
203,0.200687
204,0.200511
205,0.200336
206,0.200163
207,0.199991
208,0.199822
209,0.199653
210,0.199487
211,0.199322
212,0.199158
213,0.198996
214,0.198836
215,0.198676
216,0.198519
217,0.198363
218,0.198208
219,0.198055
220,0.197903
